"sim","n1","n0","prop_obs_s0","prop_obs_s1","delta.s.true","delta.true","R.true","betahat1","betahat1_star","R.model","betahat1_star.complete","R.model.complete","betahat1_star.ipw","R.model.ipw","betahat1_star.smle","R.model.smle"
"4-580",1000,1000,1,0.3,6,12,0.5,11.9478695755499,6.39692442705117,0.464597065895178,6.394195399146,0.464825477151922,6.5861327417999,0.464825477151922,6.46937755307663,0.458532961699252
"4-581",1000,1000,1,0.3,6,12,0.5,12.2728757056576,6.19190303549627,0.495480669404815,6.12278692423196,0.501112284433105,6.19739060426295,0.501112284433105,6.1160536693409,0.501660913381409
"4-582",1000,1000,1,0.3,6,12,0.5,11.9699221834431,6.27625985718974,0.475664105329679,6.16506968945548,0.484953235704149,6.20866873127962,0.484953235704149,6.15854862286307,0.48549802342227
"4-583",1000,1000,1,0.3,6,12,0.5,12.1566445944924,6.16539180288655,0.492837702462752,5.98944041993511,0.507311382398345,6.09624935961653,0.507311382398345,5.96142017838804,0.509616314596475
"4-584",1000,1000,1,0.3,6,12,0.5,11.8856431688536,6.45460276631776,0.456941229463114,6.40404049323509,0.461195292315613,6.47473032793174,0.461195292315613,6.38683920506663,0.462642524739141
"4-585",1000,1000,1,0.3,6,12,0.5,11.7123861377133,6.24155630458754,0.467097803026658,6.30372245932974,0.461790075462756,6.25240563302006,0.461790075462756,6.32750689443552,0.459759367558652
"4-586",1000,1000,1,0.3,6,12,0.5,11.7355424429701,6.1406676334182,0.476746161222685,6.04373744010991,0.485005702166729,6.01537101575866,0.485005702166729,6.05326465843314,0.484193876180029
"4-587",1000,1000,1,0.3,6,12,0.5,11.7012854024426,6.22799482710937,0.467751224509977,6.22058802068357,0.46838421534569,6.31362218404036,0.46838421534569,6.23457042204996,0.467189269586699
"4-588",1000,1000,1,0.3,6,12,0.5,11.9110434250909,6.16923413097217,0.482057624105667,6.09772836253464,0.488060941018012,6.11835412446509,0.488060941018012,6.18014169196156,0.481141872176964
"4-589",1000,1000,1,0.3,6,12,0.5,11.9375367469055,6.23453508525264,0.477736888485912,6.25986686881787,0.475614860792738,6.32184177028994,0.475614860792738,6.30413200929091,0.471906797612574
"4-590",1000,1000,1,0.3,6,12,0.5,12.0029011749591,6.05932226894559,0.495178525539579,6.10078487207976,0.491724143758892,6.18902240580602,0.491724143758892,6.09061447319373,0.492571472145402
"4-591",1000,1000,1,0.3,6,12,0.5,11.5876998335868,5.69450218949727,0.508573550292369,5.73313145743968,0.505239906126816,5.82596474854555,0.505239906126816,5.72598374007334,0.505856742726746
"4-592",1000,1000,1,0.3,6,12,0.5,12.1930158984875,5.87914492191387,0.517826846871975,5.89078472891549,0.516872217836918,5.86403878998941,0.516872217836918,5.88311899413456,0.51750091666293
"4-593",1000,1000,1,0.3,6,12,0.5,11.6232450853532,6.21240240557261,0.465519107619865,6.18297466358216,0.468050908487381,6.17450415351561,0.468050908487381,6.18573543477259,0.467813386937232
"4-594",1000,1000,1,0.3,6,12,0.5,12.3841559148746,6.33710617429536,0.488289212615301,6.52564584194714,0.47306494792195,6.63177234404529,0.47306494792195,6.54412329692904,0.471572924153118
"4-595",1000,1000,1,0.3,6,12,0.5,11.2333951419408,6.02838860989117,0.463351147741284,5.9938350170367,0.466427118310988,6.12467891353187,0.466427118310988,5.95539309694349,0.469849228866832
